position.x,position.z,time,score
0.2163671,0.3660628,10.43013,1
0.3150059,0.4173742,10.5854,1
0.3946734,0.4427205,10.76529,2
0.5169808,0.4965383,11.0178,2
0.5239065,0.5115403,11.11866,2
0.5623307,0.54739,11.22353,2
0.5803216,0.5605405,11.32371,2
0.5928471,0.5703449,11.42967,3
0.6015801,0.5733355,11.5349,3
0.6174794,0.5792501,11.6831,4
0.609993,0.6017091,11.78519,4
0.5873161,0.623446,11.89286,4
0.5430563,0.6636269,11.9946,4
0.4735237,0.6692353,12.13625,4
0.4417403,0.6408651,12.2383,4
0.3874069,0.6003262,12.33972,4
0.2739385,0.4528544,12.45675,4
0.2208298,0.393678,12.55819,4
0.1101148,0.2909553,12.69897,4
0.01630474,0.1741045,12.8462,4
-0.09282937,0.04512714,12.98783,4
-0.1218726,-0.04371495,13.09661,4
-0.1239726,-0.1141607,13.19736,4
-0.1299041,-0.1603215,13.33771,4
-0.1409986,-0.2117177,13.48749,4
-0.1708896,-0.2221432,13.63486,4
-0.2227566,-0.2447484,13.74504,4
-0.2960047,-0.267964,13.89204,4
-0.3715438,-0.2974944,14.03463,4
-0.3974844,-0.3021058,14.17565,4
-0.392782,-0.2852103,14.28117,4
-0.3755415,-0.2707402,14.39526,4
-0.3682324,-0.2555687,14.53532,4
-0.3869958,-0.236756,14.68211,5
-0.4054911,-0.2309067,14.78673,5
-0.4624861,-0.2115384,14.92332,6
-0.4712245,-0.2205184,15.03558,6
-0.4718958,-0.2296314,15.14136,6
-0.4397937,-0.2591368,15.24225,6
-0.4047765,-0.2864372,15.3446,7
-0.3300134,-0.3293244,15.48553,7
-0.1951579,-0.3216814,15.63899,8
-0.003928391,-0.2330746,15.79349,8
0.1148148,-0.1416166,15.94391,8
0.2395123,-0.01840992,16.09229,9
0.3744701,0.1698387,16.23962,10
0.4091668,0.2239703,16.35092,10
0.4334535,0.4522175,16.49395,10
0.4412837,0.5210996,16.63459,10
0.4445188,0.5777408,16.77937,10
0.4558829,0.6292667,16.87985,10
0.4877162,0.7103173,16.99009,10
0.5138643,0.7455442,17.09535,10
0.5546964,0.7711622,17.24139,10
0.5925673,0.7791541,17.34305,10
0.6327856,0.7747478,17.44564,10
0.6472017,0.7742534,17.54581,10
0.667576,0.7873882,17.65255,10
0.6772293,0.7782477,17.75647,10
0.6741275,0.7848565,17.90209,10
0.6944226,0.8081599,18.0462,10
0.7055619,0.8159845,18.15047,10
0.7603937,0.815195,18.26488,11
0.8138381,0.8172075,18.40098,11
0.862739,0.8176364,18.54372,12
0.8837177,0.839147,18.69448,12
0.8893471,0.8597705,18.84377,13
0.8682652,0.917519,18.95547,13
