position.x,position.ztime
-0.03437824,-0.01734572,39.80706
-0.02134224,-0.01854916,39.90884
-0.008775373,-0.01931284,40.0105
0.0001510713,-0.02005245,40.13591
0.01253455,-0.02275859,40.24144
0.02551165,-0.02269086,40.36227
0.02697754,-0.01968108,40.48475
0.02613262,-0.01649369,40.59826
0.02505108,-0.0118217,40.70916
0.02099166,-0.004599259,40.81472
0.01681457,0.004726703,40.91609
0.007174951,0.02672776,41.02105
-0.003371543,0.05739361,41.12872
-0.01303257,0.09501114,41.23199
-0.02912719,0.1379593,41.35928
-0.04771567,0.1666437,41.48261
-0.06036779,0.1827468,41.60063
-0.06685705,0.1952548,41.70402
-0.06770841,0.2109038,41.85756
-0.06406449,0.2234141,41.98449
-0.0511361,0.2342968,42.09406
-0.03476943,0.2462404,42.19475
-0.007813648,0.2669653,42.3204
0.01515312,0.2796545,42.42899
0.06812234,0.3022404,42.56699
0.09842683,0.3117033,42.6801
0.1282597,0.3195838,42.82918
0.1444708,0.3212031,42.93271
0.1615107,0.324277,43.06293
0.160734,0.3295572,43.1855
0.1657345,0.3382701,43.3325
0.168389,0.3457715,43.43604
0.1649201,0.3702367,43.57312
0.1628768,0.3944684,43.67994
0.1653154,0.4376235,43.80667
0.1715776,0.4822811,43.92955
0.1662159,0.5206951,44.04133
0.1569412,0.5494465,44.19341
0.1551628,0.5643479,44.29416
0.1616921,0.5722702,44.39924
0.1698027,0.5778326,44.51051
0.188287,0.5801525,44.63842
0.2143012,0.5843062,44.76801
0.2463554,0.5881828,44.87024
0.2873426,0.5858713,44.98325
0.3415531,0.5733145,45.11251
0.3715015,0.5531774,45.24084
0.3877063,0.5407382,45.34758
0.3938456,0.5315884,45.45274
0.3978818,0.5289661,45.56855
0.402016,0.5289627,45.69595
0.4080245,0.5295168,45.82293
0.4102284,0.5340753,45.92431
0.4153416,0.5446659,46.03348
0.4253356,0.558383,46.14066
0.4424657,0.5847027,46.27291
0.4538911,0.6087373,46.37457
0.4607357,0.6320214,46.48162
0.4664676,0.6555859,46.62029
0.4667552,0.661719,46.77116
0.4706115,0.6673885,46.87508
0.4779263,0.6722727,46.97713
0.4852065,0.6745034,47.08954
0.4948878,0.6749572,47.1947
0.5193205,0.6717525,47.34503
0.5452566,0.6685955,47.44944
0.580152,0.6629035,47.55138
0.6184894,0.6521046,47.66674
0.6480308,0.6421784,47.76918
0.677029,0.6233507,47.91661
0.6873996,0.6172287,48.01709
0.6950681,0.6194634,48.13314
0.7012528,0.6203633,48.2373
0.7043905,0.6247295,48.36186
0.7043679,0.6287626,48.46271
0.6989049,0.6393398,48.648
0.6789865,0.6678363,48.80079
0.6597761,0.6979898,48.95709
0.6304651,0.7356594,49.08406
0.6072598,0.7585598,49.19722
0.5693228,0.7830697,49.32389
0.5461366,0.8005969,49.42745
0.5298895,0.8110325,49.63012
0.5272861,0.8276801,49.83723
0.5171721,0.8413278,50.039
0.5104248,0.8594353,50.23791
0.517777,0.8705753,50.34875
0.537898,0.8817153,50.44991
0.570287,0.8714004,50.64677
0.5777299,0.8677295,50.849
0.6013145,0.8644738,50.96526
0.625028,0.8619885,51.0742
0.6588742,0.8612601,51.20466
0.6939846,0.8596707,51.31831
0.7330902,0.8520408,51.43574
0.764469,0.8414877,51.54018
0.776329,0.83597,51.64225
0.7883319,0.8301386,51.74921
0.7905647,0.8264765,51.85999
0.7822555,0.8320152,51.99778
0.7724647,0.8465167,52.1034
0.7582506,0.8626086,52.22281
0.7202236,0.8881735,52.35762
0.6960221,0.8966361,52.46579
0.6769543,0.8989605,52.56852
0.6623457,0.9025152,52.67014
0.6498438,0.9037508,52.78065
0.6420211,0.9019934,52.88088
0.633481,0.8970663,53.0095
0.6419389,0.8972964,53.13404
0.6595268,0.9086701,53.24627
0.6793604,0.914887,53.35275
0.7016505,0.9289291,53.46066
0.7197545,0.9347804,53.56554
0.7738834,0.9486648,53.71209
0.8342471,0.9553564,53.83749
0.8775501,0.9574214,53.93917
0.9265226,0.9579859,54.07529
0.9634046,0.9566247,54.18158
0.9845066,0.9576403,54.28503
0.9982318,0.9618095,54.38911
1.010795,0.9657444,54.49116
1.02724,0.9714388,54.60568
1.030089,0.9708418,54.70729
1.02673,0.9669532,54.83027
1.019317,0.9634771,54.93032
1.016102,0.9589962,55.06764
1.013299,0.9582526,55.17527
1.011798,0.9560207,55.27963
1.008761,0.9562582,55.38195
1.005865,0.9568883,55.49688
1.003739,0.9571887,55.63367
1.001214,0.9580893,55.75616
1.000009,0.9610133,55.86209
0.9982184,0.9627075,55.96941
0.9960639,0.9652452,56.11254
0.9950381,0.9661603,56.21638
0.9934202,0.9651627,56.31967
0.9922902,0.964749,56.42321
0.9935549,0.9651096,56.54315
0.9952454,0.9695462,56.6716
0.9980623,0.9730206,56.80023
0.997997,0.9732614,56.90033
1.001985,0.9721777,57.00959
1.001736,0.9740913,57.11786
1.00001,0.978151,57.21803
1.00171,0.9836305,57.32323
1.000581,0.9910674,57.44059
0.9999986,0.9987277,57.55355
0.9932172,1.008281,57.6564
0.9844171,1.030163,57.78098
0.9783779,1.06291,57.90956
0.9698227,1.09489,58.0171
0.95815,1.120138,58.1207
0.9485524,1.141594,58.22274
0.9353883,1.158798,58.32407
0.9238362,1.172923,58.43597
0.9124296,1.192949,58.53622
0.9018323,1.200591,58.65754
0.8977596,1.20154,58.75872
0.8932422,1.208318,58.88012
0.8880926,1.220794,58.99128
0.8866284,1.230359,59.10773
0.8875998,1.236201,59.21484
0.8947712,1.240907,59.3428
0.9037966,1.247616,59.45213
0.9127749,1.251877,59.55635
0.9291157,1.261092,59.66378
0.9383783,1.276232,59.77541
0.9456321,1.288862,59.88676
0.9568245,1.294829,59.99929
0.9664653,1.297647,60.10399
0.9734468,1.299642,60.21353
0.9788769,1.301562,60.31711
0.9847343,1.301051,60.45041
0.987366,1.303049,60.57032
0.9910743,1.301791,60.71911
0.9928419,1.301823,60.82554
0.9935663,1.297635,60.93833
0.9938236,1.300175,61.04522
0.9940475,1.298387,61.18426
0.9950321,1.297546,61.33046
0.9956809,1.294673,61.46522
0.9962577,1.291749,61.56786
0.9974946,1.290382,61.67193
0.9981604,1.288666,61.77542
0.9998172,1.284101,61.8819
0.9990795,1.285828,61.99033
0.9995952,1.282522,62.09493
1.000471,1.278656,62.1991
1.00102,1.269831,62.33599
1.001715,1.258472,62.43664
1.004872,1.246577,62.56302
1.008871,1.235597,62.67113
1.012705,1.228934,62.77951
1.020344,1.22603,62.90977
1.044021,1.217261,63.05563
1.07149,1.21349,63.16428
1.103258,1.21012,63.27318
1.160229,1.202086,63.41943
1.20304,1.196497,63.52359
1.233856,1.190225,63.64703
1.276501,1.179106,63.77158
1.281888,1.182723,63.95646
1.279573,1.191237,64.06023
1.275662,1.202099,64.1652
1.254974,1.23315,64.27253
1.21337,1.284902,64.40885
1.181695,1.327955,64.51326
1.131021,1.373984,64.6172
1.085505,1.415596,64.77425
1.050972,1.435488,64.89113
1.043766,1.457599,64.9958
1.042682,1.504815,65.22064
1.068809,1.607388,65.41926
1.09401,1.690415,65.61769
1.143859,1.748642,65.7983
1.153094,1.75709,65.91383
1.154974,1.768288,66.02301
1.153189,1.775707,66.13953
1.147526,1.782241,66.25241
1.139565,1.789855,66.36544
1.12592,1.798994,66.46914
1.111901,1.802974,66.59541
1.098065,1.794883,66.7094
1.086712,1.782308,66.81422
1.078607,1.769183,66.91535
1.076328,1.759992,67.01579
1.081063,1.746062,67.12584
1.090925,1.734196,67.22588
1.123478,1.699014,67.34848
1.162412,1.645238,67.49513
1.183657,1.607279,67.6105
1.194119,1.572405,67.73561
1.197025,1.552268,67.8382
1.1964,1.53469,67.94518
1.197915,1.522667,68.04701
