position.x,position.ztime
-0.830525,-1.418387,30.14689
-0.8700339,-1.440782,30.25923
-0.9522044,-1.497181,30.39068
-0.9765828,-1.521762,30.50616
-0.9897676,-1.587067,30.64257
-0.9553692,-1.689556,30.82389
-0.9397046,-1.731144,30.95482
-0.929822,-1.769681,31.06905
-0.9319285,-1.815939,31.19438
-0.9662908,-1.930519,31.37209
-0.9936248,-1.990247,31.52468
-1.005921,-2.044242,31.65749
-1.003856,-2.063643,31.78011
-0.9854012,-2.095317,31.90253
-0.9715105,-2.108905,32.03317
-0.9569808,-2.130632,32.13589
-0.9520699,-2.157797,32.28759
-0.9583563,-2.18639,32.40836
-0.9730135,-2.209057,32.53355
-0.9828356,-2.233945,32.66196
-0.9829904,-2.24186,32.78335
-0.9822193,-2.242676,32.90315
-0.9824231,-2.247512,33.0275
-0.9753202,-2.250184,33.18859
-0.9666922,-2.24914,33.30446
-0.93832,-2.231948,33.45544
-0.9061697,-2.213513,33.55603
-0.8471057,-2.179985,33.68044
-0.799896,-2.142191,33.79703
-0.7658356,-2.120645,33.91875
-0.7508789,-2.1102,34.04543
-0.7393858,-2.106918,34.16824
-0.7347941,-2.129979,34.29164
-0.7337503,-2.154677,34.42057
-0.7292036,-2.16523,34.52295
-0.7007279,-2.178444,34.67806
-0.6626874,-2.186888,34.79559
-0.5931571,-2.195424,34.94549
-0.5393561,-2.190961,35.06706
-0.5031289,-2.195035,35.18301
-0.477216,-2.217482,35.33665
-0.4645037,-2.258528,35.49603
-0.4702256,-2.292323,35.62307
-0.4712944,-2.317371,35.74134
-0.4626341,-2.341835,35.85553
-0.4356196,-2.373458,36.01522
-0.4076076,-2.38889,36.13337
-0.3934175,-2.390316,36.24686
-0.3908996,-2.407032,36.40794
-0.4145451,-2.426816,36.53615
-0.4362752,-2.433806,36.65488
-0.4770624,-2.438553,36.77807
-0.5107418,-2.439393,36.9044
-0.5217902,-2.439334,37.02493
-0.5202646,-2.442686,37.14814
-0.5130606,-2.451191,37.29906
-0.4964632,-2.458812,37.427
-0.4797179,-2.462188,37.55256
-0.4646002,-2.462114,37.67356
-0.4524269,-2.463317,37.78676
-0.4375051,-2.461487,37.94348
-0.4292238,-2.459249,38.06122
-0.4307505,-2.445505,38.21196
-0.4419679,-2.435531,38.33522
-0.4649776,-2.43282,38.46
-0.4839102,-2.431533,38.56022
-0.4998838,-2.426753,38.69374
-0.5008656,-2.42713,38.7999
-0.4876824,-2.437122,38.92591
-0.4737547,-2.44978,39.02903
-0.4397279,-2.473775,39.14201
-0.3916838,-2.501409,39.28561
-0.3691306,-2.51105,39.41648
-0.35965,-2.517091,39.52675
-0.3563549,-2.523343,39.69216
-0.3594412,-2.526051,39.82608
-0.3771055,-2.532696,39.94268
-0.4056538,-2.537559,40.071
-0.4199841,-2.53972,40.18064
-0.4560789,-2.568919,40.55251
-0.4512969,-2.587999,40.6762
-0.4340309,-2.620949,40.8094
-0.4203945,-2.642502,40.91037
-0.3939542,-2.673579,41.02888
-0.3803078,-2.696305,41.15128
-0.3785389,-2.713788,41.29882
-0.3812049,-2.719132,41.41353
-0.3923898,-2.719878,41.537
-0.4187748,-2.711408,41.6514
-0.4460807,-2.69678,41.76796
-0.4751198,-2.683894,41.88417
-0.543789,-2.648892,41.99521
-0.6068324,-2.607255,42.1185
-0.6481731,-2.569056,42.23434
-0.6720153,-2.529199,42.35324
-0.6993089,-2.496441,42.46393
-0.7115414,-2.46841,42.58213
-0.7428747,-2.443412,42.71197
-0.7756091,-2.415465,42.83178
-0.8381085,-2.371706,42.9468
-0.8901738,-2.315912,43.06342
-0.913645,-2.272549,43.18513
-0.9412383,-2.227811,43.31621
-0.9500177,-2.203707,43.43432
-0.9439437,-2.184728,43.55201
-0.9428179,-2.163037,43.67985
-0.9411103,-2.141509,43.80186
-0.9458925,-2.127428,43.92572
-0.9728842,-2.100654,44.08837
-0.9985146,-2.08009,44.21153
-1.017231,-2.064741,44.33693
-1.037623,-2.047894,44.48205
-1.043348,-2.039014,44.60532
-1.040544,-2.027616,44.71245
-1.027215,-2.025524,44.82535
-1.009707,-2.024874,44.93993
-0.9762887,-2.028428,45.05176
-0.9363753,-2.033449,45.20584
-0.8755164,-2.02917,45.31273
-0.846312,-2.018826,45.43002
-0.8266714,-2.017455,45.56596
-0.8178666,-2.01612,45.7152
-0.7742094,-2.008173,45.90588
-0.7483549,-2.011581,46.01468
-0.653705,-2.022371,46.15326
-0.5638399,-2.028506,46.34403
-0.539483,-2.036122,46.47777
-0.5290996,-2.053871,46.59017
-0.5179836,-2.076395,46.70438
-0.5091639,-2.086458,46.82851
-0.5081401,-2.097403,46.94934
-0.4993021,-2.120531,47.07662
-0.4816501,-2.140847,47.19262
-0.4586554,-2.154809,47.30889
-0.4042157,-2.177797,47.42599
-0.3572584,-2.192955,47.53722
-0.3267918,-2.192248,47.6514
-0.2931574,-2.200729,47.77661
-0.2709552,-2.212074,47.90094
-0.2751121,-2.221519,48.01509
-0.2795635,-2.230362,48.12604
-0.2842393,-2.241503,48.24714
-0.2937339,-2.248979,48.37415
-0.3056468,-2.24688,48.48941
-0.3279995,-2.25488,48.59934
-0.3822993,-2.278469,48.7221
-0.4688323,-2.293908,48.83758
-0.5404865,-2.301607,48.9525
-0.588874,-2.307838,49.07698
-0.6268305,-2.314838,49.18793
-0.6434067,-2.31952,49.31047
-0.6563464,-2.33466,49.42235
-0.660574,-2.343346,49.53659
-0.6824262,-2.366473,49.69887
-0.7293619,-2.389324,49.81714
-0.757868,-2.401347,49.93026
-0.7884455,-2.423105,50.04524
-0.8013997,-2.443799,50.16497
-0.799366,-2.46397,50.28185
-0.7877922,-2.481498,50.41232
-0.7686639,-2.509196,50.53467
-0.7490705,-2.521422,50.64816
-0.7493702,-2.537136,50.76661
-0.7849437,-2.547991,50.88471
-0.8525333,-2.547963,51.01329
-0.9164702,-2.534402,51.16536
-0.9488238,-2.523602,51.27349
-0.965548,-2.522607,51.39408
-0.958066,-2.527273,51.51372
-0.9462049,-2.548885,51.67863
-0.9430976,-2.557638,51.78962
-0.9494093,-2.581549,51.90807
-0.9665232,-2.606056,52.03245
-1.001709,-2.633188,52.14836
-1.043389,-2.65742,52.27354
-1.086531,-2.680124,52.3903
-1.127133,-2.705636,52.51078
-1.139769,-2.730251,52.63056
-1.135298,-2.736859,52.74823
-1.109499,-2.766962,52.87961
-1.078676,-2.78952,52.99911
-1.061242,-2.799534,53.1178
-1.050081,-2.810139,53.23106
-1.055987,-2.816624,53.34572
-1.091021,-2.830872,53.46723
-1.134231,-2.839095,53.57902
-1.1853,-2.842017,53.69282
-1.244194,-2.846665,53.81843
-1.268821,-2.8504,53.94408
-1.269872,-2.859553,54.07151
-1.264765,-2.861969,54.1856
-1.242113,-2.882179,54.30341
-1.223437,-2.893483,54.42045
-1.209709,-2.901753,54.53042
-1.195549,-2.914176,54.65174
-1.194897,-2.928408,54.77131
-1.201241,-2.938158,54.8841
-1.227039,-2.96258,54.99872
-1.251781,-2.98254,55.10929
-1.28242,-3.005776,55.24523
-1.312643,-3.0237,55.36943
-1.328137,-3.035854,55.48404
-1.342278,-3.044848,55.60698
-1.35193,-3.054578,55.72991
-1.354126,-3.061008,55.85867
-1.352742,-3.065383,55.97863
-1.341537,-3.063876,56.09303
-1.32009,-3.064618,56.2137
-1.284267,-3.062704,56.32991
-1.245692,-3.063774,56.43642
-1.20112,-3.063244,56.55323
-1.16413,-3.056432,56.66763
-1.150641,-3.054511,56.77217
-1.142042,-3.054308,56.88706
-1.137886,-3.06355,57.00119
-1.147181,-3.070703,57.11655
-1.164754,-3.081103,57.22438
-1.18354,-3.090585,57.34357
-1.207467,-3.104877,57.46563
-1.224386,-3.110717,57.5718
-1.234338,-3.116897,57.69976
-1.22308,-3.115028,57.81794
-1.199405,-3.111176,57.93442
-1.142372,-3.105772,58.04925
-1.070036,-3.100565,58.15578
-0.985741,-3.088532,58.26807
-0.9132677,-3.068199,58.39105
-0.8638887,-3.053459,58.5067
-0.8462405,-3.04731,58.62919
-0.8252516,-3.047578,58.74884
-0.8252628,-3.042308,58.85721
-0.8182595,-3.037509,58.97664
-0.7999582,-3.039732,59.10695
-0.7716519,-3.045649,59.23009
-0.7139493,-3.055063,59.3443
-0.6798071,-3.055016,59.47971
-0.6480182,-3.054553,59.62951
-0.6503785,-3.059935,59.74878
-0.6748672,-3.067502,59.86655
-0.7002726,-3.072767,59.97903
-0.7744255,-3.081426,60.10131
-0.8175684,-3.079992,60.24772
-0.8574912,-3.08264,60.37773
-0.8823746,-3.098776,60.52877
-0.8851227,-3.117177,60.66742
-0.8832672,-3.13836,60.85194
-0.886075,-3.141492,60.97165
-0.8948114,-3.152622,61.09643
-0.9332652,-3.177084,61.32763
-0.9484782,-3.186385,61.46169
-0.9712444,-3.199548,61.62006
-0.9826512,-3.206921,61.74551
-0.9849775,-3.206196,61.86942
-0.9910377,-3.20903,61.98782
-0.9895164,-3.209023,62.10775
-0.9868629,-3.210629,62.22651
-0.9719644,-3.221453,62.34428
-0.9522541,-3.232342,62.47083
-0.933243,-3.244532,62.58532
-0.9172285,-3.255231,62.69424
-0.8982287,-3.259657,62.81821
-0.8915758,-3.262027,62.93381
-0.892852,-3.260476,63.05191
