position.x,position.z,time,score,phase
0.4999932,-0.9999858,9.392844,0,0
0.4999933,-0.9999856,9.528646,0,0
0.4999933,-0.9999856,9.641728,0,0
0.4999933,-0.9999858,9.765607,0,0
0.4999933,-0.9999857,9.866673,0,0
0.4999932,-0.9999856,9.968222,0,0
0.4999932,-0.9999858,10.07547,0,0
0.4999933,-0.9999858,10.18782,0,0
0.4999932,-0.9999858,10.3019,0,0
0.4999933,-0.9999858,10.45788,0,0
0.4999933,-0.9999858,10.56163,0,0
0.4999931,-0.9999858,10.66415,0,0
0.4999933,-0.9999859,10.78461,0,0
0.4999933,-0.9999856,10.94334,0,0
0.4999931,-0.9999858,11.04341,0,0
0.4999933,-0.9999858,11.19218,0,0
0.4999932,-0.9999858,11.30294,0,0
0.4999933,-0.9999859,11.41396,0,0
0.4999933,-0.9999858,11.52203,0,0
0.4999933,-0.9999859,11.64954,0,0
0.4999932,-0.9999856,11.80041,0,0
0.4999934,-0.9999859,11.95607,0,0
0.4999932,-0.9999859,12.07303,0,0
0.4999934,-0.9999859,12.19487,0,0
0.4999932,-0.9999859,12.31234,0,0
0.4999933,-0.9999858,12.4346,0,0
0.4999932,-0.9999859,12.56533,0,0
0.4999933,-0.9999859,12.66966,0,0
0.4999932,-0.9999858,12.78047,0,0
0.4999933,-0.9999859,12.89592,0,0
0.4999933,-0.9999858,13.02945,0,0
0.4999931,-0.9999858,13.18605,0,0
0.4999933,-0.9999859,13.33864,0,0
0.4999932,-0.9999857,13.48044,0,0
0.4999934,-0.9999859,13.58203,0,0
0.4999931,-0.999986,13.69343,0,0
0.4999933,-0.9999858,13.79806,0,0
0.4999933,-0.9999857,13.92645,0,0
0.4999932,-0.9999859,14.05889,0,0
0.4999933,-0.9999859,14.16027,0,0
0.4999932,-0.9999858,14.27481,0,0
0.4999931,-0.999986,14.40269,0,0
0.4999934,-0.999986,14.51751,0,0
0.4999932,-0.9999859,14.64465,0,0
0.4999933,-0.9999859,14.75341,0,0
0.4999933,-0.9999859,14.87136,0,0
0.4999932,-0.9999858,15.00288,0,0
0.4999932,-0.9999863,31.7313,0,1
0.4999931,-0.9999863,31.8347,0,1
0.4999932,-0.9999865,31.94647,0,1
0.4999933,-0.9999864,32.07515,0,1
0.4999931,-0.9999864,32.19381,0,1
0.4999932,-0.9999864,32.30494,0,1
0.4999932,-0.9999865,32.4488,0,1
0.4999931,-0.9999862,32.58377,0,1
0.4999933,-0.9999864,32.72066,0,1
0.4999931,-0.9999865,32.84461,0,1
0.4999932,-0.9999864,32.95289,0,1
0.4999932,-0.9999865,33.06207,0,1
0.4999932,-0.9999862,33.19136,0,1
0.499993,-0.9999864,33.29464,0,1
0.4999932,-0.9999865,33.41277,0,1
0.4999931,-0.9999864,33.52326,0,1
0.4999931,-0.9999864,33.64444,0,1
0.4999933,-0.9999864,33.76327,0,1
0.4999931,-0.9999865,33.90332,0,1
0.4999933,-0.9999865,34.008,0,1
0.499993,-0.9999864,34.12228,0,1
0.4999933,-0.9999864,34.27533,0,1
0.4999931,-0.9999864,34.39217,0,1
0.4999932,-0.9999865,34.50053,0,1
0.4999932,-0.9999864,34.63025,0,1
0.499993,-0.9999865,34.73177,0,1
0.4999933,-0.9999866,34.84684,0,1
0.4999931,-0.9999865,35.00024,0,1
0.4999931,-0.9999865,35.10503,0,1
0.4999932,-0.9999865,35.21778,0,1
0.4999932,-0.9999865,35.33812,0,1
0.4999931,-0.9999865,35.4411,0,1
0.4999932,-0.9999865,35.5731,0,1
0.4999931,-0.9999864,35.73075,0,1
0.4999932,-0.9999865,35.86345,0,1
0.4999932,-0.9999865,35.97594,0,1
0.4999931,-0.9999866,36.11436,0,1
0.4999932,-0.9999864,36.22771,0,1
