position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance
-0.6971738,1.599582,35.1073,0,6.042685,0,2.053186
-0.6966712,1.599682,35.21657,0,6.158523,0,2.053367
-0.6956579,1.59857,35.33232,0,6.270862,0,2.053617
-0.6940851,1.597483,35.45998,0,6.385343,0,2.05491
-0.6932449,1.598264,35.59153,1,6.511632,0,2.055699
-0.6921986,1.597817,35.70104,1,6.642952,0,2.056326
-0.6931836,1.600947,35.81155,2,6.75345,0,2.057788
-0.6898543,1.599782,35.92218,2,6.863932,0,2.058236
-0.6869808,1.598576,36.03034,2,6.969075,0,2.059165
-0.6838132,1.597138,36.13919,3,7.083362,0,2.060184
-0.6762857,1.595572,36.24059,3,7.184901,0,2.060903
-0.6682818,1.594123,36.36318,3,7.296882,0,2.061876
-0.6582661,1.597036,36.47276,4,7.415299,0,2.061941
-0.6486632,1.602567,36.58138,4,7.517307,0,2.061881
-0.6438169,1.601672,36.73122,4,7.674583,0,2.062713
-0.6398376,1.604114,36.8395,4,7.787958,0,2.062743
-0.6294079,1.605982,36.94727,4,7.891908,0,2.065905
-0.624521,1.596651,37.07311,4,8.002732,0,2.066151
-0.6231614,1.583832,37.18591,4,8.126587,0,2.067145
-0.6246006,1.56854,37.29177,4,8.238299,0,2.068813
-0.6306084,1.516499,37.4071,4,8.341872,0,2.071116
-0.6357507,1.483183,37.51308,4,8.459463,0,2.07191
-0.6528016,1.424573,37.61632,4,8.564079,0,2.072098
-0.6757331,1.346513,37.7267,4,8.663788,0,2.074161
-0.6930054,1.168424,37.89767,4,8.832697,0,2.076037
-0.6978545,1.125775,38.00093,4,8.942814,0,2.077086
-0.7091034,1.102134,38.12233,4,9.058776,0,2.079485
-0.7327613,1.056825,38.27492,4,9.216707,0,2.080693
-0.7316706,1.042944,38.3843,4,9.320673,0,2.080929
-0.7281755,1.039536,38.49805,5,9.436693,0,2.077194
-0.723034,1.041243,38.61128,5,9.550684,0,2.078043
-0.7238236,1.040407,38.72206,6,9.66293,0,2.078962
-0.7321488,1.037258,38.82481,6,9.773856,0,2.079406
-0.7360587,1.040265,38.94,6,9.880197,0,2.080944
-0.7367617,1.041484,39.05092,7,9.994801,0,2.082316
-0.7384201,1.043934,39.15653,7,10.1016,0,2.083431
-0.741536,1.047453,39.26184,7,10.20517,0,2.084837
-0.7480608,1.065158,39.38322,8,10.31233,0,2.086472
-0.7564622,1.070054,39.50229,8,10.4474,0,2.087866
-0.7916594,1.093473,39.61517,8,10.55516,0,2.089765
-0.8293853,1.147509,39.72408,8,10.6677,0,2.092334
-0.841438,1.180881,39.83953,9,10.77849,0,2.093148
-0.8580757,1.30594,39.94253,9,10.88839,0,2.094303
-0.8631703,1.435081,40.06252,9,10.99952,0,2.097957
-0.8574994,1.456575,40.16593,9,11.11373,0,2.098794
-0.8478628,1.494095,40.28484,9,11.22983,0,2.101862
-0.8390483,1.519438,40.38965,9,11.33117,0,2.104569
-0.8333853,1.529121,40.49667,9,11.43931,0,2.106461
-0.8287263,1.535504,40.60613,9,11.54826,0,2.10687
-0.8119268,1.558317,40.73583,9,11.66437,0,2.110855
-0.7932715,1.565655,40.93358,9,11.86087,0,2.115085
-0.787545,1.582138,41.07518,9,12.0011,0,2.117611
-0.793927,1.595129,41.20822,9,12.1434,0,2.121392
-0.80873,1.618914,41.30949,9,12.25403,0,2.121418
-0.8528465,1.670853,41.4633,9,12.40494,0,2.125503
-0.8854343,1.719564,41.62892,9,12.55914,0,2.12858
-0.9465203,1.830057,41.75654,9,12.68268,0,2.13121
-0.9801713,1.918156,41.88166,9,12.80804,0,2.09942
-1.00867,1.994167,42.01828,9,12.94768,0,2.100863
-1.017472,2.021059,42.12861,9,13.07108,0,2.101584
-1.014872,2.054687,42.24241,9,13.18101,0,2.104438
-1.020551,2.077432,42.37133,9,13.29834,0,2.106698
-1.02614,2.087302,42.48994,9,13.43022,0,2.109284
-1.030154,2.087989,42.59275,9,13.53826,0,2.109905
-1.033069,2.087564,42.69811,9,13.63865,0,2.112349
-1.036695,2.088101,42.81839,9,13.75266,0,2.114791
-1.034602,2.086492,42.92977,9,13.8747,0,2.116962
-1.030652,2.08635,43.05305,10,13.98845,0,2.119534
-1.038133,2.084091,43.16085,10,14.10533,0,2.119759
-1.037556,2.08295,43.26782,10,14.2135,0,2.121723
-1.037583,2.077803,43.38088,11,14.32021,0,2.125715
-1.03512,2.076061,43.48869,11,14.43366,0,2.126752
