position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance,activeScreen,coin(user),coin(no-user),fever,jump
0.2199401,0.6320696,13.47936,5,9.798036,0,3.187313,1,59,76,0,0
0.2373123,0.5922006,13.61137,5,9.928948,0,3.187312,1,59,76,0,0
0.2480785,0.5573182,13.72074,5,10.0413,0,3.187191,1,59,76,0,0
0.2526605,0.5309682,13.84149,5,10.16097,0,3.185844,1,59,76,0,0
0.263524,0.512832,13.96412,5,10.28409,0,3.181284,1,59,76,0,0
0.2828676,0.4868678,14.09324,5,10.40714,0,3.175477,1,59,76,0,0
0.2975426,0.4609685,14.19546,5,10.51228,0,3.169535,1,59,76,0,0
0.3186788,0.4385967,14.31672,5,10.63737,0,3.162013,1,58,76,0,0
0.3676136,0.3976792,14.44547,5,10.76657,0,3.15339,1,58,76,0,0
0.3916344,0.3831626,14.55135,5,10.86076,0,3.148072,1,59,76,0,0
0.424431,0.3332029,14.71259,5,11.03217,0,3.141039,1,60,76,0,0
0.4386516,0.2962537,14.82987,5,11.15229,0,3.134449,1,60,76,0,0
0.4443695,0.2769343,14.94862,5,11.26998,0,3.12997,1,60,76,0,0
0.4429253,0.2701092,15.05571,5,11.37444,0,3.124191,1,59,76,0,0
0.4402608,0.2796165,15.18167,5,11.49942,0,3.11838,1,60,76,0,0
0.4366876,0.2913441,15.28952,5,11.60955,0,3.10978,1,59,76,0,0
0.4258313,0.3000698,15.41736,6,11.73918,0,3.103671,1,57,76,0,0
0.4229793,0.314283,15.51917,6,11.83871,0,3.095728,1,57,76,0,0
0.419707,0.3502321,15.66456,7,11.97837,0,3.090784,1,58,76,0,0
0.4248159,0.4081491,15.79143,7,12.11166,0,3.084666,1,57,76,0,0
0.4303311,0.4642357,15.90798,7,12.22708,0,3.076138,1,57,76,0,0
0.4463025,0.5571489,16.02546,7,12.34274,0,3.069815,1,55,76,0,0
0.4699326,0.6299477,16.15739,7,12.47154,0,3.061226,1,55,76,0,0
0.486137,0.712312,16.28072,7,12.60426,0,3.058841,1,54,76,0,0
0.5177401,0.8090833,16.38503,7,12.70002,0,3.046281,1,53,76,0,0
0.5331462,0.8780153,16.51672,7,12.83485,0,3.041209,1,53,76,0,0
0.6022608,0.9880456,16.70973,7,13.02089,0,3.02689,1,53,76,0,0
0.6079702,1.040862,16.84063,8,13.15592,0,3.024364,1,53,76,0,0
