position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance
-0.1190286,1.379639,28.01479,1,6.431977,0,1.901408
-0.09111413,1.376392,28.14301,2,6.559903,0,1.904242
-0.03605293,1.367806,28.26602,2,6.690059,0,1.904242
-0.005490026,1.357056,28.3916,2,6.807955,0,1.911265
0.04216122,1.347984,28.51454,2,6.938095,0,1.912364
0.08911168,1.347631,28.61767,2,7.050483,0,1.916646
0.127198,1.340201,28.73241,2,7.146525,0,1.91995
0.1398222,1.336129,28.83242,2,7.263257,0,1.922343
0.1553292,1.336973,28.95631,2,7.362736,0,1.926374
0.1633006,1.347513,29.07193,2,7.488572,0,1.929135
0.1723424,1.352611,29.1863,2,7.60049,0,1.931274
0.1790148,1.358516,29.31425,2,7.72649,0,1.934933
0.182755,1.3637,29.42764,2,7.847424,0,1.936318
0.1864197,1.373576,29.54557,2,7.960699,0,1.9374
0.1887534,1.380012,29.66114,3,8.078979,0,1.9374
0.1917399,1.386096,29.79183,3,8.197184,0,1.946595
0.1930028,1.389443,29.91373,4,8.326138,0,1.948586
0.1952253,1.392356,30.04602,4,8.456717,0,1.951699
0.1976098,1.394974,30.15827,4,8.579587,0,1.952567
0.203126,1.398012,30.27495,4,8.688178,0,1.95584
0.20418,1.401399,30.40029,4,8.816226,0,1.958498
0.2041546,1.403144,30.51004,4,8.932058,0,1.961936
0.2009352,1.406397,30.62564,4,9.037038,0,1.964261
0.1992923,1.406394,30.75603,4,9.169343,0,1.966118
0.1999633,1.402784,30.86676,4,9.283623,0,1.969731
0.199501,1.383408,30.98387,4,9.401194,0,1.972518
0.1970182,1.356775,31.10373,4,9.518017,0,1.976616
0.1649712,1.329217,31.22274,4,9.638453,0,1.979408
0.1164127,1.298391,31.33297,4,9.748453,0,1.981906
0.05543524,1.211778,31.46617,4,9.873846,0,1.985498
0.05010772,1.164875,31.58604,4,10.00267,0,1.98725
0.03273448,1.038554,31.69904,4,10.11775,0,1.992545
0.103748,1.039753,31.82527,4,10.24007,0,1.973668
0.07970089,0.9968424,31.93666,5,10.35311,0,1.97664
0.06827435,0.977607,32.04421,5,10.46397,0,1.981279
0.05585337,0.954373,32.16748,6,10.57859,0,1.98435
0.05451922,0.9159489,32.27864,6,10.69367,0,1.987062
0.06160089,0.8944879,32.40555,6,10.81936,0,1.991585
0.07189991,0.8793551,32.52763,7,10.9443,0,1.994809
0.06676715,0.8787846,32.64441,7,11.06303,0,1.998064
0.06317116,0.8740643,32.76095,8,11.17505,0,2.002692
0.06240358,0.8735885,32.88254,8,11.30614,0,2.004181
0.05722711,0.8661809,33.00069,8,11.42212,0,2.010411
0.04792907,0.8543074,33.12168,9,11.53761,0,2.013954
0.05064294,0.862051,33.26282,9,11.66404,0,2.019131
0.04769423,0.863986,33.37606,10,11.79447,0,2.021264
0.03630165,0.868459,33.50459,10,11.91673,0,2.027908
-0.009809674,0.8541225,33.62974,10,12.04819,0,2.031533
-0.09751641,0.8451314,33.75804,10,12.16761,0,2.037133
-0.2424099,0.7516715,33.8838,10,12.30036,0,2.039696
-0.4334242,0.8045932,34.00645,10,12.42183,0,2.043924
-0.5738086,0.8801003,34.14579,11,12.55219,0,2.047996
-0.6498903,0.9323682,34.26569,11,12.68082,0,2.049644
-0.7153131,0.9596905,34.39014,11,12.8053,0,2.053751
-0.7951033,0.9918956,34.51027,12,12.92861,0,2.057986
-0.8556281,1.011104,34.63873,12,13.05175,0,2.061059
-0.904276,1.02808,34.76253,12,13.17696,0,2.065956
-0.9348671,1.050434,34.87594,13,13.29296,0,2.068843
-0.9493434,1.084878,34.99657,13,13.40519,0,2.07248
-0.9719705,1.114788,35.1347,14,13.546,0,2.077855
-0.9903011,1.161607,35.25094,14,13.6666,0,2.081571
-0.9981472,1.189923,35.3684,14,13.78295,0,2.087582
-1.007432,1.226092,35.49328,15,13.90426,0,2.092769
-1.023532,1.250644,35.6116,15,14.02625,0,2.096524
-1.043193,1.273409,35.72673,15,14.14248,0,2.115631
-1.063976,1.280942,35.84277,15,14.26346,0,2.119748
-1.088754,1.292742,35.96853,15,14.37715,0,2.125175
-1.111019,1.297704,36.09266,15,14.50616,0,2.128992
